No,Day,Month,Year,Qobs_0000000001,Qsim_0000000001,Qobs_0000000002,Qsim_0000000002,Qobs_0000000003,Qsim_0000000003,Qobs_0000000004,Qsim_0000000004
254,10,9,2016,0.269,0.2715411,0.292,0.2274785,0.042,0.1139776,1.817,1.7671157
255,11,9,2016,0.257,0.2691735,0.278,0.2245025,0.04,0.1039549,1.769,1.6850453
256,12,9,2016,0.264,0.2671126,0.271,0.2219418,0.038,0.096336,1.79,1.6203422
257,13,9,2016,0.254,0.2653026,0.262,0.2197262,0.037,0.0903683,1.8,1.5676618
258,14,9,2016,0.249,0.2636996,0.249,0.2177981,0.036,0.0855663,1.786,1.5235866
259,15,9,2016,0.29,0.262675,0.282,0.21644,0.046,0.0825474,1.911,1.4943596
260,16,9,2016,0.645,0.5424571,0.562,0.3704184,0.171,0.14201,3.987,2.7245708
261,17,9,2016,0.536,0.424269,0.506,0.3068325,0.232,0.1900101,5.854,3.1004687
262,18,9,2016,0.571,0.7633181,0.533,0.5142151,0.177,0.3383777,5.74,4.8926009
263,19,9,2016,0.632,0.3547081,0.674,0.2698,0.353,0.3234602,7.833,4.1692091
264,20,9,2016,0.359,0.2933088,0.391,0.2472207,0.137,0.2383024,4.336,3.0674798
265,21,9,2016,,0.2863308,0.349,0.240526,0.096,0.1873232,3.142,2.547961
266,22,9,2016,,0.2808663,0.335,0.2349437,0.077,0.1544738,2.63,2.2241714
267,23,9,2016,0.337,0.2763042,0.309,0.2302589,0.064,0.1322122,2.294,2.0059359
268,24,9,2016,0.336,0.2724564,0.305,0.2263036,0.059,0.1164939,2.068,1.8505336
269,25,9,2016,0.332,0.2691817,0.296,0.2229448,0.053,0.1050017,1.937,1.7351524
270,26,9,2016,0.319,0.2663716,0.276,0.2200762,0.049,0.0963376,1.845,1.646394
271,27,9,2016,0.311,0.2639411,0.269,0.2176206,0.046,0.0896225,1.797,1.5763965
272,28,9,2016,0.307,0.2618231,0.271,0.2154968,0.042,0.0842849,1.761,1.519524
273,29,9,2016,0.303,0.2599636,0.266,0.2136452,0.041,0.079942,1.702,1.4718863
